name,cost
"Apples, Granny",$26.00 
"Apples, Gala",$33.00 
"Asparagus, 11# standard",$38.00 
"Beans, Various, #10 can",$6.10 
"Beets, Cut 25#",$14.00 
"Beets, Candystripe 25#",$38.00 
"Beets, Gold 25#",$38.00 
Blueberries 1/2 Pint,$48.00 
Blueberries 1 Pint,$48.00 
Bok Choy,$35.00 
Broccoli Crowns,$20.00 
Broccoli 14 ct,$20.00 
Broccoli Flor 6/3#,$34.00 
Brussel Sprouts,$35.00 
"Cabbage, Bag",$12.00 
"Cabbage, Red",$24.00 
"Cabbage, Savoy",$19.00 
Canteloupes,$22.00 
"Carrots,50#",$19.00 
"Carrots, Baby Slims 4/5#",$25.00 
"Carrots, Baby 30/1#",$31.00 
"Carrots, Rainbow",$28.00 
Cauliflower,$24.00 
Celery 30 ct,$24.00 
Cilantro 60ct,$17.00 
"Collards, Dozen",$15.00 
"Corn, Yellow",$20.00 
"Cucumber, Select",$20.00 
Dragon Fruit 10#,$70.00 
"Grapes, Red SL",$34.00 
"Grapes, White SL",$34.00 
"Grapes, Cotton Candy",$40.00 
Green Beans 10#,$65.00 
Guava,$50.00 
Honeydews,$18.00 
Jalapenos,$18.00 
Jicama,$23.00 
Kale,$15.00 
"Kiwi, Bulk",$36.00 
"Kumquat, Bulk 10#",$85.00 
"Lemons, 140",$28.00 
Mangoes,$15.00 
"Mushroom, Crimini",$11.00 
"Mushroom, 10#",$15.50 
Napa,$43.00 
"Onions, Green 4x2#",$26.00 
"Onions, Red 25#",$14.00 
"Onions, Yellow 50#",$14.00 
"Oranges, 113 ct",$27.00 
"Oranges, 125 ct",$30.00 
"Oranges, Blood 88ct 40#",$65.00 
"Papaya, 9ct",$30.25 
"Parsnips, 25#",$38.00 
"Pears, Bosc",$53.00 
"Pears, Green",$53.00 
"Peppers, Green",$20.00 
"Peppers, Red",$36.00 
"Peppers, Yellow",$36.00 
Pineapples,$18.00 
"Potatoes, 90 ct",$20.00 
"Potatoes, Red A",$20.00 
"Potatoes, Sweet JBO",$18.00 
"Potatoes, Sweet WHITE",$29.00 
"Radishes, 40#",$22.00 
Rutabags,$28.00 
Sno Peas 10#,$30.00 
"Squash, Acorn",$28.00 
"Squash, Butternut",$32.00 
"Squash, Chayote ",$32.00 
"Squash, Yellow 1/2",$20.00 
"Squash, Yellow Full",$16.00 
"Squash, Zuke 1/2",$14.00 
"Squash, Zuke Full",$16.00 
Strawberries ,$22.00 
"Strawberries, White",$24.00 
Sugar Snaps,$25.00 
"Tomatoes, 5x6",$18.00 
"Tomatoes, Cherry",$18.00 
"Tomatoes, Grape",$16.00 
"Tomatoes, Roma",$16.00 
"Tangerine, 140ct",$28.00 
"Turnips, Cut 25#",$18.00 
Ugly Fruit 30#,
"Watermelon, (IND)",$10.00 
Watermelon Radish 20#,$45.00 
Pepper Mix ,$16.66 
Pico de Gallo ,$9.22 
Fruit Mix ,$6.58 
Broccoli Slaw,$12.44 
Pepper Red & Yellow ,$21.18 
Apples Red Mike's,$24.00 
Apples Green Randy's,$24.00 
Cauliflower Tri Color,$42.00 
"Potato, Yukon ",$20.00 
Mini Sweet Pepper,$50.00 
Grape Tomato Multicolor,$25.00 
Daikon Root ,$24.00 
Golden Kiwi ,$0.00 
Grape Fruit ,$32.00 
Celery Root,$31.00 
Mini Pumpkins,$0.00 
Mustard Green ,$15.00 
Turnip Green ,$30.00 
"Tomatoes, Green ",$25.00 
"Radish, 14/1",$15.00 
"Potatoes, Idaho ",$24.00 
Pink Pineapples,$0.00 
"Peppers, Sun Tan ",$16.00 
"Onions, Sweet",$32.00 
Okra,$40.00 
SHALLOTS,$17.00 
Tropical Mix,$6.36 